Num. Data,Num. Parameters (Num Features),repeat_idx,Train MSE,Test MSE
15,4,27,0.36195976229115795,0.5208575837525067
15,4,28,0.15405905670109174,0.8481834586434968
15,4,29,0.34541493636401926,0.7000420107801275
15,5,0,0.4825909268940266,0.5517018542057747
15,5,1,0.39406123603118887,0.5554396996196644
15,5,2,0.20726707869149796,2.2314283390342413
15,5,3,0.20015645515133976,0.9403913967187068
15,5,4,0.15533368749725238,1.0214638490655426
15,5,5,0.2251091407156454,0.8062775409272824
15,5,6,0.3137599980088204,0.8114450154270776
15,5,7,0.5497793751921832,0.9279317848199905
15,5,8,0.4988192955803712,0.5994338649717572
15,5,9,0.2228932838533172,0.7374254696586603
15,5,10,0.42915637452671634,0.6697384073711921
15,5,11,0.4014156784640053,0.655048694054673
15,5,12,0.27008054567793305,0.9232698573830085
15,5,13,0.30593995918819,14.155037318910564
15,5,14,0.23913554574388637,0.5954269967818516
15,5,15,0.28239368388786407,0.7110228448798096
15,5,16,0.29321326575845047,1.0017647363245978
15,5,17,0.23369190561001565,1.9439594198590773
15,5,18,0.43036165380368346,0.6953292096832199
15,5,19,0.23472989534680122,0.9233360262831436
15,5,20,0.37622814263707965,1.0824156911574296
15,5,21,0.27835830253891225,0.663009963285059
15,5,22,0.34002005800479734,0.9635346323232875
15,5,23,0.20848933364488537,0.774388578574682
15,5,24,0.3138865310982649,0.5513665776716498
15,5,25,0.1616778880498364,0.9338037035361121
15,5,26,0.22574190188537818,0.6575814070561659
15,5,27,0.2079976037567038,1.3450244836530083
15,5,28,0.26298328781736974,0.7790095232149813
15,5,29,0.24783246295595682,0.7375117887799217
15,6,0,0.4261295417411996,0.6254900937015373
15,6,1,0.22305506659871568,1.9416296376565154
15,6,2,0.208913667438433,1.7254379591064044
15,6,3,0.15840930277747672,2.5683131512221102
15,6,4,0.22440757473741307,2.2527483415527785
15,6,5,0.45667429101779466,0.8950289027988999
15,6,6,0.38881482090077546,0.8445194631134927
15,6,7,0.3031249723732375,0.554847135134482
15,6,8,0.189760722721621,2.3464837976021697
15,6,9,0.2257135062217555,2.818443466727475
15,6,10,0.2221981283196062,0.6399335063185165
15,6,11,0.2881619935862601,0.6458961433030818
15,6,12,0.21767291222861684,0.8458308861133341
15,6,13,0.29052771967373126,1.2756442698918662
15,6,14,0.3034960462770816,0.5998596084123149
15,6,15,0.4784310031294959,0.6697788561291136
15,6,16,0.3317173428706803,1.0341275144573794
15,6,17,0.2805711039639288,1.388060757055952
15,6,18,0.28266947847237556,1.2728403506136952
15,6,19,0.38672518750023804,0.9394435438916463
15,6,20,0.3523417634238824,0.7699214414337657
15,6,21,0.36181040205156706,0.9163103383790595
15,6,22,0.3210818369685767,1.410345352304174
15,6,23,0.23075401815492247,2.436146392148281
15,6,24,0.35265858799422084,0.6228460035871417
15,6,25,0.24532746811766512,0.6789236808431734
15,6,26,0.45443322013718557,0.5106991026574995
15,6,27,0.3741066039946922,1.1983893834733348
15,6,28,0.19143922407534555,4.909005760856791
15,6,29,0.2631952688457123,1.340513540583553
15,7,0,0.18358553580870926,6.079073388477068
15,7,1,0.1841113581571999,2.4898472911464076
15,7,2,0.25294076612915367,0.8924243718306507
15,7,3,0.11668809806920215,8.625791967799868
15,7,4,0.20492144889432443,3.8409293348390174
15,7,5,0.17860977307211487,17.09622178296859
15,7,6,0.2363717441711373,1.0081095323011264
15,7,7,0.2160649144364654,1.0250552917540081
15,7,8,0.36768537736034806,0.7998620748004743
15,7,9,0.21372860461273202,1.7938338063953387
15,7,10,0.36119535683720344,1.654288717061936
15,7,11,0.19755567526360746,2.033447791513689
15,7,12,0.2046354216061363,1.331424777994016
15,7,13,0.34211714915210295,0.9004138368006542
15,7,14,0.24363931950711287,0.8214557963051485
15,7,15,0.4958727458443455,0.710479682821966
15,7,16,0.27769943195118646,0.7914365772152612
15,7,17,0.08854057366770472,3.272559784622128
15,7,18,0.1276182813072067,0.8696611116298252
15,7,19,0.4498076139871271,0.762483631734649
15,7,20,0.1556751899987188,3.9351034411806656
15,7,21,0.1381227867399624,1.3896316307225465
15,7,22,0.2503954387062916,2.029138770311087
15,7,23,0.2611716230621654,1.025003580189415
15,7,24,0.19589972392918725,7.226962479527131
15,7,25,0.38114834989775837,0.8659319367998554
15,7,26,0.07719971489292293,1.6198203574617742
15,7,27,0.2136544555288688,1.5859399051838072
15,7,28,0.12802386158943993,6.558929431584464
15,7,29,0.38518990149890703,4.093802775294266
15,8,0,0.3798624701227908,129.16473903171556
15,8,1,0.281674031308106,48.825591426515004
15,8,2,0.07260941538536995,6.568391726979204
15,8,3,0.32689502737448795,3.87563087871249
15,8,4,0.3514674906773402,0.739756868568096
15,8,5,0.06031632594134464,1.648375055393602
15,8,6,0.01493343670251057,1.6707181802250155
15,8,7,0.08275825397776962,0.89504649269427
15,8,8,0.2090236176946983,6.925506887992336
15,8,9,0.06605154881943208,54.98396588007493
15,8,10,0.355385598577712,1.038944431028746
15,8,11,0.23288775334172157,4.804217321153803
15,8,12,0.47363404994825087,1.5529906234863062
15,8,13,0.22730161027766974,1.04436493513182
15,8,14,0.09368097770761798,1.6592419608373943
15,8,15,0.11457416674220738,87.37070041985125
15,8,16,0.1925113330893225,1.8428923087416174
15,8,17,0.2930398967538967,3.5444868429777707
15,8,18,0.07743663797057251,2.8965353421838884
15,8,19,0.20431042037648153,13.778724955077617
15,8,20,0.2509148975325053,0.7134988454882693
15,8,21,0.07258519012060383,176.88751380359608
15,8,22,0.2699583918391467,1.1611452832874045
15,8,23,0.16421113102697624,3.413204024915656
